ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-04-10T00:00:00.000Z,5TDERKEC3RS11O622,2024,Sienna Platinum,DealerHold,False,Factory to port,54690,Predawn Gray Mica,Nobel Brown Leather,200,Doral Toyota,https://www.doraltoyota.com,False,50 State Emissions | 6-Gallons of Gas | Mudguards | Platinum Package | Southeast Toyota Distributor
2024-04-15T00:00:00.000Z,5TDERKEC3RS12L960,2024,Sienna Platinum,Available,False,Factory to port,57373,Celestial Silver Metallic,Nobel Brown Leather,112,Coggin Toyota at the Avenues,https://www.coggintoyota.com,False,50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Clear Paint Protection - Full Hood Package | Cross Bars | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SmartLED Ambient Lighting | TOYOGUARD Platinum
2024-04-27T00:00:00.000Z,5TDERKEC3RS13L503,2024,Sienna Platinum,Available,False,Factory to port,55838,Blueprint,Nobel Brown Leather,48,Lakeland Toyota,https://www.lakelandtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-04-23T00:00:00.000Z,5TDERKEC3RS13L596,2024,Sienna Platinum,DealerHold,False,Factory to port,58237,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,151,Palm Beach Toyota,https://www.palmbeachtoyota.com,True,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Digital Rear View Mirror with Homelink | Mudguards | Phone Cable Charge Package | Platinum Package | Rear Seat Entertainment System- | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-04-27T00:00:00.000Z,5TDERKEC3RS13M036,2024,Sienna Platinum,Available,False,Factory to port,59174,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,200,Doral Toyota,https://www.doraltoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Cross Bars | Digital Rear View Mirror with Homelink | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | Rear Seat Entertainment System- | SPECIAL COLOR | Southeast Toyota Distributor | TOYOGUARD Platinum
2024-05-06T00:00:00.000Z,5TDERKEC3RS15D173,2024,Sienna Platinum,Available,False,Factory to port,56342,Blueprint,Nobel Brown Leather,9,Central Florida Toyota,https://www.centralfloridatoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-02-28T00:00:00.000Z,5TDERKEC3RS195838,2024,Sienna Platinum,Available,False,At dealer,55842,Cypress,Nobel Brown Leather,123,Butler Toyota Jacksonville,https://www.butlertoyotajacksonville.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-03-30T00:00:00.000Z,5TDERKEC3RS198710,2024,Sienna Platinum,Available,False,Factory to port,55843,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,5,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,True,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Carpet Floor Mats | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR
2024-04-21T00:00:00.000Z,5TDERKEC4RS12M907,2024,Sienna Platinum,Available,False,Factory to port,57410,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,120,Treasure Coast Toyota of Stuart,https://www.treasurecoasttoyotaofstuart.com,True,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Platinum Package | SPECIAL COLOR | SmartLED Ambient Lighting | Southeast Toyota Distributor | TOYOGUARD Platinum
2024-04-16T00:00:00.000Z,5TDERKEC4RS12N071,2024,Sienna Platinum,Available,False,Factory to port,58875,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,123,Arlington Toyota,https://www.arlingtontoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Digital Rear View Mirror with Homelink | Paint Protection Film - Hood & Door Package | Phone Cable Charge Package | Platinum Package | Rear Seat Entertainment System- | SET Digital Portfolio | SPECIAL COLOR | SmartLED Ambient Lighting | TOYOGUARD Platinum
